,Count_2014,Count_2015,Count_2016,Count_2017,Count_2018,Count_2019,Count_mean,nodes,roads,num_connect
0,6104.0,,2703.0,7080.0,,7093.0,6532.0,42421728,"269,270,271,639,640,641",3
1,10277.0,,2703.0,,9823.0,9823.0,9974.333333333334,42421731,"639,640,641,856,857,858",4
2,18382.0,21833.0,2703.0,,,21923.0,20712.666666666668,42421737,"639,640,641,741,742",3
3,3051.0,,2703.0,,,2691.0,2815.0,42421741,"639,640,641,1273,1274",3
4,4836.0,,2703.0,,,4721.0,4778.5,42421749,"639,640,641,1304,1305,1306",3
6,18382.0,21833.0,,,,21923.0,20712.666666666668,42421769,"741,742",1
7,6135.0,,,,4800.0,4800.0,5245.0,42421772,"1143,1144",2
8,11940.0,,7202.0,,7023.0,7023.0,7769.5,42421775,"569,570,571",2
9,4836.0,,,,,4721.0,4778.5,42421776,"1304,1305,1306",3
10,12110.0,,8977.0,,,9011.0,10032.666666666666,42421778,"658,659,660",3
11,5541.0,,1898.0,5480.0,,5490.0,5503.666666666667,42421783,"871,872,873",4
15,16192.0,,,13364.0,,13266.0,14274.0,42421800,"821,822,823",2
16,18382.0,21833.0,,,,21923.0,20712.666666666668,42421803,"741,742",2
17,6135.0,,,,4800.0,4800.0,5245.0,42421806,"1143,1144",2
18,11940.0,,7202.0,,7023.0,7023.0,7769.5,42421809,"569,570,571",2
19,4836.0,,,,,4721.0,4778.5,42421810,"1304,1305,1306",3
20,12110.0,,8977.0,,,9011.0,10032.666666666666,42421820,"658,659,660",3
21,10259.0,,,8613.0,,8550.0,9140.666666666666,42421828,"39,40",2
22,1918.0,,,,,1880.0,1899.0,42421852,"1273,1274",3
24,71592.0,74018.0,,11176.0,78849.0,78849.0,75827.0,42421877,"489,490,491,755,756,846,847",2
25,2952.0,,,,3875.0,3875.0,3567.3333333333335,42421889,"489,490,491,1156,1157",2
26,8585.0,,,8229.0,6061.0,6061.0,7234.0,42421941,"407,408,409,1265,1266,1267",2
27,10584.0,9208.0,,8229.0,6061.0,9146.0,9646.0,42421946,"368,369,407,408,409",1
28,8585.0,,,8229.0,6061.0,6061.0,7234.0,42421951,"407,408,409",3
29,4747.0,1628.0,266.0,1286.0,5206.0,5206.0,5053.0,42421960,"404,405,406,1265,1266,1267",4
